EOS_id,Drug_name,MoA,Target_name,is_hit_3D,n_features_active,activity_RMS_2D,activity_RMS_3D,rank_2D_n_active_pct,rank_2D_RMS_pct,rank_3D_RMS_pct
EOS100524,SNS-314,inhibitor,Aurora kinase A;Dual specificity protein kinase CLK4;NT-3 growth factor receptor;SRSF protein kinase 1;MAP kinase-interacting serine/threonine-protein kinase 2;Maternal embryonic leucine zipper kinase;Homeodomain-interacting protein kinase 4;Serine/threonine-protein kinase PLK4;Platelet-derived growth factor receptor beta;Focal adhesion kinase 1;Interleukin-1 receptor-associated kinase 1;Rho-associated protein kinase 2;Epithelial discoidin domain-containing receptor 1;Tyrosine-protein kinase receptor UFO;Vascular endothelial growth factor receptor 2;Ribosomal protein S6 kinase beta-1;Mitogen-activated protein kinase kinase kinase 20;Proto-oncogene tyrosine-protein kinase receptor Ret;Serine/threonine-protein kinase BRSK1;Calcium/calmodulin-dependent protein kinase type II subunit gamma;Mast/stem cell growth factor receptor Kit;Proto-oncogene tyrosine-protein kinase ROS;Calcium/calmodulin-dependent protein kinase type II subunit beta;Peroxisomal acyl-coenzyme A oxidase 3;Ephrin type-A receptor 2;Serine/threonine-protein kinase Nek4;Tyrosine-protein kinase receptor TYRO3;STE20-like serine/threonine-protein kinase;Vascular endothelial growth factor receptor 3;Macrophage colony-stimulating factor 1 receptor;Aurora kinase B;High affinity nerve growth factor receptor;Discoidin domain-containing receptor 2;BDNF/NT-3 growth factors receptor;RAF proto-oncogene serine/threonine-protein kinase;Serine/threonine-protein kinase D2;Interleukin-1 receptor-associated kinase 4;Mitogen-activated protein kinase 13;Casein kinase I isoform gamma-2;Cyclin-dependent kinase 19;Cyclin-dependent kinase 1;Cyclin-dependent kinase 8;Dual specificity tyrosine-phosphorylation-regulated kinase 3;Calcium/calmodulin-dependent protein kinase type II subunit delta;Tyrosine-protein kinase FRK;Protein kinase C delta type;Misshapen-like kinase 1;Serine/threonine-protein kinase Chk2;Hepatocyte growth factor receptor;Serine/threonine-protein kinase Aurora,False,198,3.7676134131940295,2.0819825704339614,67.14285714285714,77.27891156462586,93.60544217687075
EOS100505,ML324,inhibitor,Lysine-specific demethylase 4E;Lethal(3)malignant brain tumor-like protein 1;Lysine-specific demethylase 4A,False,112,2.3120958737286013,1.2667452905066316,39.86394557823129,37.006802721088434,74.28571428571429
EOS100504,M344,,Histone deacetylase;HD2 type histone deacetylase HDA106;Leukotriene A-4 hydrolase;Histone deacetylase 8;Histone deacetylase 1;Histone deacetylase 6,False,157,2.7717730067740742,0.7477713428302375,53.87755102040816,52.6530612244898,19.45578231292517
EOS100479,K02288,,Activin receptor type-1;TGF-beta receptor type-1,False,87,2.155010452184906,0.8580129919569186,29.863945578231295,29.65986394557823,35.10204081632653
EOS100465,DAPIVIRINE,inhibitor,Reverse transcriptase/RNaseH,False,196,3.2441150388916102,0.7134160843996239,66.05442176870748,63.53741496598639,15.10204081632653
EOS100414,UNC2881,,Tyrosine-protein kinase receptor TYRO3;Tyrosine-protein kinase receptor UFO;Tyrosine-protein kinase Mer,False,108,2.3442536470033133,0.9510266588509328,37.755102040816325,38.91156462585034,47.61904761904761
EOS100635,BARASERTIB-HQPA,inhibitor,"Tyrosine-protein kinase ABL1;Mitogen-activated protein kinase kinase kinase 19;Cyclin-dependent kinase 11B;Tyrosine-protein kinase receptor UFO;Aurora kinase C;Tyrosine-protein kinase ZAP-70;Tubulin alpha-1A chain;Cyclin-dependent kinase 7;AP2-associated protein kinase 1;Dual specificity mitogen-activated protein kinase kinase 1;Angiopoietin-1 receptor;Tyrosine-protein kinase Srms;Tyrosine-protein kinase BTK;Dual specificity mitogen-activated protein kinase kinase 2;Mitogen-activated protein kinase kinase kinase 20;Tyrosine-protein kinase Yes;Homeodomain-interacting protein kinase 4;Serine/threonine-protein kinase PAK 1;Homeodomain-interacting protein kinase 2;Tyrosine-protein kinase HCK;Receptor-interacting serine/threonine-protein kinase 2;Cyclin-dependent kinase-like 2;Cyclin-dependent kinase 13;Discoidin domain-containing receptor 2;Mitogen-activated protein kinase kinase kinase kinase 2;Vascular endothelial growth factor receptor 3;Ephrin type-B receptor 6;Protein-tyrosine kinase 6;Tyrosine-protein kinase Lyn;Tyrosine-protein kinase receptor Tie-1;Dual specificity protein kinase TTK;Tyrosine-protein kinase CSK;Leukocyte tyrosine kinase receptor;Ankyrin repeat and protein kinase domain-containing protein 1;Vascular endothelial growth factor receptor 1;Platelet-derived growth factor receptor beta;Citron Rho-interacting kinase;Serine/threonine-protein kinase 36;Cyclin-dependent kinase 11A;Proto-oncogene tyrosine-protein kinase LCK;Epidermal growth factor receptor;Proto-oncogene tyrosine-protein kinase receptor Ret;Serine/threonine-protein kinase PLK4;Casein kinase II subunit alpha';Eukaryotic translation initiation factor 2-alpha kinase 1;Homeodomain-interacting protein kinase 3;Ribosomal protein S6 kinase beta-1;Macrophage-stimulating protein receptor;Receptor tyrosine-protein kinase erbB-4;Dual serine/threonine and tyrosine protein kinase;Dual specificity mitogen-activated protein kinase kinase 5;Serine/threonine-protein kinase 10;Interleukin-1 receptor-associated kinase 3;Receptor tyrosine-protein kinase erbB-2;Aurora kinase B;TRAF2 and NCK-interacting protein kinase;Vascular endothelial growth factor receptor 2;MAP kinase-interacting serine/threonine-protein kinase 2;Serine/threonine-protein kinase Chk2;Mitogen-activated protein kinase kinase kinase 7;Platelet-derived growth factor receptor alpha;Cyclin-dependent kinase 16;Mast/stem cell growth factor receptor Kit;Epithelial discoidin domain-containing receptor 1;Aurora kinase A;Receptor-type tyrosine-protein kinase FLT3;Macrophage colony-stimulating factor 1 receptor;Muscle, skeletal receptor tyrosine-protein kinase;Hepatocyte growth factor receptor;Mitogen-activated protein kinase kinase kinase kinase 5;Tyrosine-protein kinase Blk;Mitogen-activated protein kinase kinase kinase kinase 4;Casein kinase I isoform delta",False,219,4.082520872279486,1.1729796426569257,74.96598639455783,81.63265306122449,67.89115646258503
EOS100634,GO 6983,inhibitor,Protein kinase C gamma type;Protein kinase C zeta type;Protein kinase C delta type;Protein kinase C beta type;Protein kinase C alpha type;L-type calcium channel alpha 1C/beta 2A,False,96,2.224497878619296,0.5974483482625756,32.857142857142854,32.92517006802721,3.537414965986395
EOS100623,LAPATINIB,antagonist;inhibitor,Epidermal growth factor receptor;Insulin receptor;Receptor tyrosine-protein kinase erbB-3;Cytochrome P450 3A4;Phosphatidylinositol 4-kinase beta;Receptor-interacting serine/threonine-protein kinase 2;Proto-oncogene tyrosine-protein kinase receptor Ret;Tubulin alpha-1A chain;Dual specificity mitogen-activated protein kinase kinase 7;Cytochrome P450 3A5;Serine/threonine-protein kinase 10;Cyclin-dependent kinase 2;Tyrosine-protein kinase ABL1;Bile salt export pump;Potassium voltage-gated channel subfamily H member 2;Aurora kinase B;Dual specificity mitogen-activated protein kinase kinase 5;Phosphatidylinositol 3-kinase C2 domain-containing subunit gamma;Receptor tyrosine-protein kinase erbB-4;Menin/Histone-lysine N-methyltransferase MLL;Platelet-derived growth factor receptor beta;STE20-like serine/threonine-protein kinase;Receptor tyrosine-protein kinase erbB-2;Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta,False,139,2.9513036519697855,1.4776165625579276,48.36734693877551,56.19047619047619,82.85714285714286
EOS100619,BREXPIPRAZOLE,antagonist;agonist;partial agonist,D(2) dopamine receptor;5-hydroxytryptamine receptor 2A;5-hydroxytryptamine receptor 1A;5-hydroxytryptamine receptor 2B;5-hydroxytryptamine receptor 7;Alpha-2C adrenergic receptor;Alpha-1B adrenergic receptor,False,118,2.6197742413486753,0.7561840799343393,42.925170068027214,48.843537414965986,20.680272108843536
